"","ID","name","prefix","r","g","b","alp","First.Year","Last.Year","hex","rgb","h","s","v"
"138",450,"Fabuland Brown","rgba","182","123","80","1",1979,1997,"#B67B50","182,123,80",0.0702614379084967,0.56043956043956,0.713725490196078
"139",1088,"Medium Brown","rgba","117","89","69","1",2022,2023,"#755945","117,89,69",0.0694444444444444,0.41025641025641,0.458823529411765
"140",92,"Nougat","rgba","208","145","104","1",1979,2023,"#D09168","208,145,104",0.0657051282051282,0.5,0.815686274509804
"141",1056,"Trans-Brown Opal","rgba","88","57","39","1",2020,2023,"#583927","88,57,39",0.0612244897959184,0.556818181818182,0.345098039215686
"142",6,"Brown","rgba","88","57","39","1",1974,2008,"#583927","88,57,39",0.0612244897959184,0.556818181818182,0.345098039215686
"143",134,"Copper","rgba","174","122","89","1",2002,2012,"#AE7A59","174,122,89",0.0647058823529412,0.488505747126437,0.682352941176471
"144",70,"Reddish Brown","rgba","88","42","18","1",1961,2023,"#582A12","88,42,18",0.0571428571428571,0.795454545454546,0.345098039215686
"145",86,"Light Brown","rgba","124","80","58","1",2002,2006,"#7C503A","124,80,58",0.0555555555555556,0.532258064516129,0.486274509803922
"146",1067,"Dark Nougat","rgba","173","97","64","1",2001,2004,"#AD6140","173,97,64",0.0504587155963303,0.630057803468208,0.67843137254902
"147",1072,"Pearl Brown","rgba","87","57","44","1",2003,2006,"#57392C","87,57,44",0.0503875968992248,0.494252873563218,0.341176470588235
"148",1068,"Reddish Orange","rgba","238","84","52","1",2003,2004,"#EE5434","238,84,52",0.028673835125448,0.781512605042017,0.933333333333333
"149",12,"Salmon","rgba","242","112","94","1",1997,2000,"#F2705E","242,112,94",0.0202702702702703,0.611570247933884,0.949019607843137
"150",4,"Red","rgba","201","26","9","1",1949,2023,"#C91A09","201,26,9",0.0147569444444444,0.955223880597015,0.788235294117647
"151",36,"Trans-Red","rgba","201","26","9","1",1969,2023,"#C91A09","201,26,9",0.0147569444444444,0.955223880597015,0.788235294117647
"152",216,"Rust","rgba","179","16","4","1",1991,2001,"#B31004","179,16,4",0.0114285714285714,0.977653631284916,0.701960784313725
"153",335,"Sand Red","rgba","214","117","114","1",2001,2004,"#D67572","214,117,114",0.00499999999999998,0.467289719626168,0.83921568627451
"154",79,"Milky White","rgba","255","255","255","1",1963,2008,"#FFFFFF","255,255,255",0,0,1
"155",47,"Trans-Clear","rgba","252","252","252","1",1954,2023,"#FCFCFC","252,252,252",0,0,0.988235294117647
"156",183,"Pearl White","rgba","242","243","242","1",2003,2006,"#F2F3F2","242,243,242",0.333333333333333,0.00411522633744855,0.952941176470588
"157",503,"Very Light Gray","rgba","230","227","218","1",1997,2004,"#E6E3DA","230,227,218",0.125,0.0521739130434783,0.901960784313726
"158",151,"Very Light Bluish Gray","rgba","230","227","224","1",2000,2013,"#E6E3E0","230,227,224",0.0833333333333329,0.0260869565217392,0.901960784313726
"159",383,"Chrome Silver","rgba","224","224","224","1",1977,2018,"#E0E0E0","224,224,224",0,0,0.87843137254902
"160",80,"Metallic Silver","rgba","165","169","180","1",1957,2023,"#A5A9B4","165,169,180",0.622222222222222,0.0833333333333333,0.705882352941177
"161",150,"Pearl Very Light Gray","rgba","171","173","172","1",2002,2004,"#ABADAC","171,173,172",0.416666666666668,0.0115606936416186,0.67843137254902
"162",71,"Light Bluish Gray","rgba","160","165","169","1",2002,2023,"#A0A5A9","160,165,169",0.574074074074074,0.0532544378698225,0.662745098039216
"163",135,"Pearl Light Gray","rgba","156","163","168","1",1998,2015,"#9CA3A8","156,163,168",0.569444444444445,0.0714285714285713,0.658823529411765
"164",7,"Light Gray","rgba","155","161","157","1",1954,2019,"#9BA19D","155,161,157",0.388888888888889,0.0372670807453417,0.631372549019608
"165",179,"Flat Silver","rgba","137","135","136","1",2009,2023,"#898788","137,135,136",0.916666666666667,0.0145985401459854,0.537254901960784
"166",8,"Dark Gray","rgba","109","110","92","1",1961,2006,"#6D6E5C","109,110,92",0.175925925925926,0.163636363636364,0.431372549019608
"167",72,"Dark Bluish Gray","rgba","108","110","104","1",2003,2023,"#6C6E68","108,110,104",0.222222222222222,0.0545454545454546,0.431372549019608
"168",40,"Trans-Black","rgba","99","95","82","1",1999,2023,"#635F52","99,95,82",0.127450980392157,0.171717171717172,0.388235294117647
"169",148,"Pearl Dark Gray","rgba","87","88","87","1",2001,2023,"#575857","87,88,87",0.333333333333333,0.0113636363636363,0.345098039215686
"170",64,"Chrome Black","rgba","27","42","52","1",2008,2020,"#1B2A34","27,42,52",0.566666666666667,0.480769230769231,0.203921568627451
"171",0,"Black","rgba","5","19","29","1",1957,2023,"#05131D","5,19,29",0.569444444444444,0.827586206896552,0.113725490196078
"172",117,"Glitter Trans-Clear","rgba","255","255","255","1",1999,2023,"#FFFFFF","255,255,255",0,0,1
"173",15,"White","rgba","255","255","255","1",1949,2023,"#FFFFFF","255,255,255",0,0,1
"174",1055,"Trans-Clear Opal","rgba","252","252","252","1",2020,2023,"#FCFCFC","252,252,252",0,0,0.988235294117647
"175",1000,"Glow in Dark White","rgba","217","217","217","1",2005,2023,"#D9D9D9","217,217,217",0,0,0.850980392156863
